aX,aY,aZ,gX,gY,gZ
-0.401,-0.275,-1.164,-35.889,-7.751,-2.625
-0.368,-0.291,-1.163,-34.607,-6.592,-1.770
-0.356,-0.318,-1.172,-30.518,-5.188,-0.977
-0.351,-0.352,-1.183,-23.804,-2.869,-0.427
-0.329,-0.390,-1.169,-14.954,2.014,-1.221
-0.294,-0.432,-1.116,-6.531,7.874,-2.808
-0.261,-0.477,-1.057,-2.869,11.475,-4.028
-0.222,-0.510,-1.008,-4.333,10.437,-5.432
-0.181,-0.539,-0.979,-8.667,6.226,-6.714
-0.142,-0.586,-0.968,-14.404,0.793,-8.423
-0.129,-0.636,-0.971,-20.874,-3.357,-11.230
-0.129,-0.656,-0.988,-28.870,-4.700,-15.747
-0.148,-0.674,-1.000,-36.255,-2.991,-21.729
-0.159,-0.695,-1.001,-40.527,3.418,-27.954
-0.160,-0.708,-0.979,-41.199,13.550,-34.729
-0.155,-0.711,-0.924,-39.917,22.949,-42.786
-0.159,-0.714,-0.863,-40.161,28.687,-49.866
-0.156,-0.706,-0.821,-41.809,30.273,-56.335
-0.170,-0.727,-0.816,-43.945,29.907,-62.012
-0.143,-0.739,-0.841,-44.556,32.104,-66.833
-0.183,-0.774,-0.861,-42.236,34.729,-74.829
-0.275,-0.779,-0.841,-40.833,39.185,-83.740
-0.325,-0.751,-0.784,-43.884,46.204,-90.576
-0.318,-0.735,-0.683,-49.133,52.368,-94.604
-0.327,-0.735,-0.599,-53.528,54.871,-95.825
-0.354,-0.731,-0.562,-53.528,53.162,-97.229
-0.379,-0.710,-0.563,-49.866,49.011,-100.159
-0.418,-0.696,-0.572,-44.739,44.128,-102.966
-0.486,-0.685,-0.595,-40.833,38.330,-105.164
-0.529,-0.661,-0.610,-40.405,32.349,-108.154
-0.925,0.275,-1.436,29.114,29.480,-159.973
-0.919,0.314,-1.426,12.268,35.217,-153.137
-0.902,0.360,-1.380,-9.460,43.396,-146.240
-0.892,0.425,-1.325,-31.311,51.758,-138.672
-0.863,0.498,-1.258,-47.119,59.265,-131.592
-0.835,0.565,-1.182,-54.688,64.087,-124.084
-0.797,0.619,-1.111,-53.955,67.810,-114.441
-0.745,0.629,-1.032,-46.204,71.655,-102.905
-0.673,0.613,-0.955,-38.818,75.378,-90.027
-0.577,0.589,-0.854,-35.400,79.163,-77.026
-0.490,0.552,-0.738,-35.706,81.787,-64.087
-0.385,0.505,-0.598,-40.344,83.374,-51.270
-0.235,0.489,-0.448,-49.377,82.397,-39.063
-0.133,0.488,-0.318,-61.462,75.806,-26.672
-0.037,0.502,-0.237,-72.449,63.721,-15.381
0.075,0.524,-0.193,-78.857,47.668,-5.676
0.197,0.567,-0.161,-81.665,31.677,5.005
0.332,0.613,-0.098,-83.679,17.334,18.188
0.485,0.677,-0.012,-86.975,2.563,33.081
0.631,0.754,0.063,-88.745,-14.404,50.232
0.781,0.821,0.124,-84.045,-37.354,69.885
0.940,0.843,0.193,-73.669,-68.054,90.942
1.109,0.833,0.274,-62.195,-105.286,113.281
1.243,0.820,0.371,-56.335,-151.550,136.536
1.378,0.835,0.451,-55.420,-209.473,160.706
1.535,0.859,0.464,-55.969,-278.137,189.270
1.631,0.861,0.406,-54.810,-355.408,228.088
1.702,0.826,0.181,-52.856,-425.049,268.250
